ds,y,yhat,yhat_lower,yhat_upper,error,uncertainty,anomaly
2016-01-03,410.0,857.2106540578736,275.86346516810124,1428.2037918873118,-447.2106540578736,1152.3403267192107,No
2016-01-04,3236.0,2683.532716686078,2123.6471114976816,3317.557509150281,552.467283313922,1193.9103976525994,No
2016-01-05,3725.0,3061.71894761194,2434.480489194724,3674.756666223888,663.2810523880598,1240.2761770291636,No
2016-01-06,3796.0,3034.4150442966315,2447.55931623244,3640.8218197298097,761.5849557033685,1193.2625034973698,No
2016-01-07,2668.0,3361.866189212643,2782.387714614,3953.216458332948,-693.8661892126429,1170.8287437189483,No
2016-01-08,3545.0,3100.9456021732262,2508.6310067881946,3698.43431071286,444.05439782677377,1189.8033039246657,No
2016-01-09,1173.0,1773.3044841620897,1159.134571449032,2357.481235235929,-600.3044841620897,1198.3466637868971,No
2016-01-10,1752.0,1876.666981570606,1288.8998561046608,2465.9957043649183,-124.66698157060591,1177.0958482602575,No
2016-01-11,3289.0,3484.039109745174,2899.845874444057,4066.828942373812,-195.03910974517385,1166.9830679297552,No
2016-01-12,4007.0,3777.802845214284,3154.0257532473224,4353.844213694222,229.19715478571607,1199.8184604468997,No
2016-01-13,4054.0,3644.776355994778,3025.436529876262,4244.383301763063,409.223644005222,1218.9467718868013,No
2016-01-14,4039.0,3606.5048725226416,2997.679000347849,4244.216215471527,432.49512747735844,1246.537215123678,No
2016-01-15,3590.0,3255.1891380160478,2650.054191896096,3861.854134580404,334.81086198395224,1211.799942684308,No
2016-01-16,1613.0,1690.3467382566955,1058.3404809334131,2297.300814668272,-77.34673825669552,1238.9603337348588,No
2016-01-17,1162.0,1744.0115540117588,1184.0622595986858,2311.746353789101,-582.0115540117588,1127.684094190415,No
2016-01-18,3765.0,3397.35814943621,2748.9287786296504,3997.578959287286,367.64185056378983,1248.6501806576357,No
2016-01-19,3887.0,3547.669993676639,2917.031782730071,4156.701456744228,339.330006323361,1239.6696740141574,No
2016-01-20,3681.0,3546.690711065145,2945.580762724821,4143.841688542512,134.30928893485498,1198.2609258176913,No
2016-01-21,3653.0,3716.935483033068,3116.2620886289174,4290.299796835005,-63.93548303306807,1174.0377082060872,No
2016-01-22,2803.0,3451.027113887757,2853.837096401016,4059.5105167588295,-648.027113887757,1205.6734203578135,No
2016-01-23,1792.0,1970.73820095287,1314.4161501645149,2558.23777725547,-178.7382009528701,1243.8216270909552,No
2016-01-24,1850.0,2269.4793510536065,1649.933179131957,2860.911066515168,-419.4793510536065,1210.9778873832108,No
2016-01-25,3937.0,3802.011342099077,3217.544431586848,4425.736145747461,134.98865790092304,1208.1917141606127,No
2016-01-26,4031.0,3837.5130721162536,3266.688465305841,4436.402893892471,193.48692788374638,1169.7144285866302,No
2016-01-27,3631.0,3839.089750577101,3248.049586724557,4464.887728854502,-208.08975057710086,1216.838142129945,No
2016-01-28,3880.0,3629.261879406165,3013.594125777032,4219.682696517557,250.738120593835,1206.088570740525,No
2016-01-29,3452.0,3327.3850738900755,2735.755429568823,3934.515086570365,124.61492610992445,1198.759657001542,No
2016-01-30,1737.0,1772.4512777724751,1143.6488739373706,2334.499150020084,-35.45127777247512,1190.8502760827134,No
2016-01-31,1159.0,1950.6864525329363,1387.0933070033443,2567.908858413919,-791.6864525329363,1180.8155514105747,No
2016-02-01,3718.0,3604.898943058945,3007.239653844984,4199.168923644639,113.10105694105505,1191.9292697996552,No
2016-02-02,3670.0,3604.196947836217,2960.215243499763,4208.689181260339,65.80305216378292,1248.473937760576,No
2016-02-03,3823.0,3498.635015544744,2878.8453692446387,4079.021224264373,324.36498445525604,1200.1758550197342,No
2016-02-04,3814.0,3729.714326632526,3082.2956537325026,4290.026444184673,84.28567336747392,1207.7307904521704,No
2016-02-05,3435.0,3225.2551988476785,2625.3510784831687,3816.787014625592,209.74480115232154,1191.435936142423,No
2016-02-06,1294.0,1936.5620463031455,1337.384869029455,2485.059444238588,-642.5620463031455,1147.674575209133,No
2016-02-07,1684.0,1933.373269279582,1341.0307559919554,2490.8463440535475,-249.37326927958202,1149.815588061592,No
2016-02-08,3577.0,3630.58538078517,3022.23333377039,4221.510749345218,-53.585380785169946,1199.277415574828,No
2016-02-09,3851.0,3728.400230801372,3142.8307797602647,4299.924211330054,122.59976919862811,1157.0934315697896,No
2016-02-10,3455.0,3752.1037349646135,3131.2118660716865,4361.396407814672,-297.1037349646135,1230.1845417429854,No
2016-02-11,3881.0,3723.321532409693,3154.209179986457,4329.84553094329,157.6784675903068,1175.6363509568332,No
2016-02-12,3501.0,3142.989715970033,2534.9790345016336,3797.531357841512,358.0102840299669,1262.5523233398785,No
2016-02-13,834.0,1666.2811354384116,1071.3205749684378,2262.464890515146,-832.2811354384116,1191.1443155467084,No
2016-02-14,1443.0,1770.7033732107916,1199.7243047832485,2359.6650959015446,-327.7033732107916,1159.9407911182961,No
2016-02-15,3352.0,3350.387903687373,2777.7249932211016,3941.1720688340447,1.612096312626818,1163.447075612943,No
